system,primitive,description,why_it_matters,example_logic,source_url
double-entry,journal_posting_rule,Enforce debits equal credits and account-type polarity rules before posting,Prevents unbalanced entries and maintains accounting equation integrity,if sum(debits) != sum(credits): reject_transaction(); validate_account_types(),https://www.investopedia.com/terms/d/double-entry.asp
double-entry,ledger_engine,Atomic journal posting with immutable audit trail and period close logic,Ensures data integrity and provides complete transaction history,"atomic_post(journal_entry); create_audit_trail(timestamp, user, changes)",https://corporatefinanceinstitute.com/resources/accounting/double-entry/
double-entry,trial_balance_generator,"Compute and export trial balance, income statement, and balance sheet from ledgers",Provides real-time financial reporting capabilities,"generate_report(report_type, period); validate_balance_sheet_equation()",https://www.investopedia.com/terms/d/double-entry.asp
double-entry,reconciliation_workflows,"Automate bank, accounts receivable, and accounts payable reconciliations with exception handling",Reduces manual errors and ensures account accuracy,"match_transactions(bank_data, ledger_data); flag_exceptions(unmatched_items)",https://corporatefinanceinstitute.com/resources/accounting/double-entry/
double-entry,controls_and_permissions,"Implement segregation of duties, approval chains, and change logs",Prevents fraud and ensures compliance with internal controls,"check_permissions(user, action); require_approval(transaction_amount, approver_level)",https://www.investopedia.com/terms/d/double-entry.asp
tps,pull_signal_orchestration,Digital kanban system to trigger replenishment based on consumption,Minimizes inventory while preventing stockouts,on_consumption(item): if inventory <= reorder_point: trigger_replenishment(),https://global.toyota/en/company/vision-and-philosophy/production-system/
tps,jidoka_alarms,Automated abnormality detection with andon escalation and line stop authority,Prevents defect propagation and maintains quality standards,if detect_abnormality(): stop_line(); escalate_andon(severity_level),https://global.toyota/en/company/vision-and-philosophy/production-system/
tps,takt_capacity_balancing,Real-time takt time computation and heijunka scheduling,Synchronizes production flow with customer demand,takt_time = available_time / customer_demand; balance_line(takt_time),https://global.toyota/en/company/vision-and-philosophy/production-system/
tps,standard_work_instructions,Version-controlled standard operating procedures with adherence tracking,Ensures consistent work methods and captures deviations,"deliver_sop(station, version); track_adherence(operator, procedure)",https://global.toyota/en/company/vision-and-philosophy/production-system/
tps,kaizen_feedback_loop,Capture improvement ideas with PDCA tracking and effect confirmation,Drives continuous improvement through employee engagement,"submit_idea(problem, solution); track_pdca_cycle(idea_id); measure_impact()",https://global.toyota/en/company/vision-and-philosophy/production-system/
pdsa,experiment_design,"Define hypothesis, success metrics, and plan metadata for each cycle",Ensures systematic learning and theory testing,"create_hypothesis(theory, prediction); define_metrics(success_criteria)",https://deming.org/explore/pdsa/
pdsa,run_execution,Collect operational and outcome data automatically during do phase,Captures complete data for analysis without bias,"execute_plan(small_scale=true); collect_data(operational, outcome)",https://deming.org/explore/pdsa/
pdsa,study_analytics,Compare predicted vs observed results with statistical process control,Enables learning from data and theory validation,"compare_results(predicted, actual); calculate_effect_size(); run_spc_analysis()",https://deming.org/explore/pdsa/
pdsa,decision_gates,"Act phase workflows to adopt, abandon, or iterate with change control",Ensures systematic decision-making based on learning,if results_validate_theory(): standardize(); else: revise_theory(); iterate(),https://deming.org/explore/pdsa/
pdsa,learning_repository,"Link cycles, theories, and outcomes for organizational knowledge management",Builds institutional memory and prevents repeated mistakes,"store_learning(cycle_id, theory, outcome); link_related_cycles()",https://deming.org/explore/pdsa/
toc,constraint_detection,Throughput analytics to identify system bottleneck resources,Focuses improvement efforts on the most impactful area,analyze_throughput(); identify_bottleneck(resource_utilization),https://www.leanproduction.com/theory-of-constraints/
toc,exploitation_scheduler,"Prioritize constraint tasks, minimize setups, and manage buffers",Maximizes constraint utilization without additional investment,prioritize_jobs(constraint_capacity); minimize_setups(); manage_buffer_levels(),https://www.leanproduction.com/theory-of-constraints/
toc,subordination_rules_engine,Align non-constraint operations to constraint rhythm,Prevents overproduction and optimizes system flow,pace_upstream(constraint_rhythm); ensure_downstream_capacity(constraint_output),https://www.leanproduction.com/theory-of-constraints/
toc,elevation_planner,Simulate ROI of constraint capacity-adding investments,Guides capital allocation for maximum throughput improvement,simulate_investment(option); calculate_throughput_roi(); rank_alternatives(),https://www.leanproduction.com/theory-of-constraints/
toc,poogi_cadence,Recurring improvement cycle with constraint re-evaluation alerts,Ensures continuous focus on the current constraint,schedule_review(monthly); re_evaluate_constraint(); alert_if_moved(),https://www.leanproduction.com/theory-of-constraints/
iso-9001,document_control,Version-controlled procedures with approval workflows and distribution tracking,"Ensures all work is based on current, approved documents","approve_document(version, approver); distribute_controlled_copy(); track_obsolete_versions()",https://www.iso.org/standard/62085.html
iso-9001,nonconformity_capa,Issue intake with root cause analysis and corrective/preventive action tracking,Prevents recurrence and drives systematic improvement,log_nonconformity(issue); analyze_root_cause(); implement_capa(action_plan),https://www.iso.org/standard/62085.html
iso-9001,internal_audits,Scheduled audit programs with findings tracking and follow-up,Ensures system effectiveness and compliance verification,"schedule_audit(area, frequency); conduct_audit(checklist); track_corrective_actions()",https://www.iso.org/standard/62085.html
iso-9001,management_review,Systematic inputs/outputs capture with action item tracking,Ensures leadership engagement and system improvement,"collect_inputs(performance_data); conduct_review(); assign_actions(owner, due_date)",https://www.iso.org/standard/62085.html
iso-9001,kpi_risk_monitoring,Process performance monitoring with risk-based thinking integration,Provides early warning of issues and drives improvement,"monitor_kpis(target_vs_actual); assess_risks(likelihood, impact); trigger_alerts()",https://www.iso.org/standard/62085.html
lean-six-sigma,project_charter_workflow,"Define critical-to-quality characteristics, scope, baseline, and team roles",Ensures projects are focused on customer value and properly resourced,"define_ctqs(customer_requirements); set_scope(boundaries); assign_roles(owner, sponsor)",https://leansixsigmainstitute.org/the-lean-six-sigma-dmaic-methodology-explained/
lean-six-sigma,data_pipeline,"Automated data collection, validation, and lineage tracking for measure phase",Ensures data integrity and traceability for analysis,"collect_data(sources); validate_quality(completeness, accuracy); track_lineage()",https://leansixsigmainstitute.org/the-lean-six-sigma-dmaic-methodology-explained/
lean-six-sigma,analysis_toolkit,"Statistical tools including Pareto, fishbone, regression, DOE, and SPC",Provides robust analytical capabilities for root cause analysis,"run_pareto_analysis(); create_fishbone_diagram(); execute_doe(factors, responses)",https://leansixsigmainstitute.org/the-lean-six-sigma-dmaic-methodology-explained/
lean-six-sigma,improvement_sandbox,A/B testing framework with pilot execution and impact tracking,Enables safe testing of improvements before full implementation,"design_experiment(control, treatment); measure_impact(kpis); validate_results()",https://leansixsigmainstitute.org/the-lean-six-sigma-dmaic-methodology-explained/
lean-six-sigma,control_plan_automation,Statistical process control with automated alerts and response procedures,Maintains gains and prevents regression after improvement,monitor_control_charts(); detect_special_cause(); execute_response_plan(),https://leansixsigmainstitute.org/the-lean-six-sigma-dmaic-methodology-explained/
balanced-scorecard,strategy_map_builder,Visual representation of strategic objectives with cause-and-effect linkages,Clarifies strategy and shows how objectives connect across perspectives,"create_objectives(perspective, description); link_causality(from_obj, to_obj)",https://www.hbs.edu/ris/Publication%20Files/10-074_0bf3c151-f82b-4592-b885-cdde7f5d97a6.pdf
